Site,Lat,Long,
Angelo Coast Reserve,39.75141,-123.6302,guess
Blue Oak Ranch Reserve,37.37914,-121.72841,
McLaughlin Natural Reserve,38.87508,-122.42114,
Sedgwick Reserve,34.70243,-120.0545,
Wind Wolves Preserve,34.91771,-119.16882,
Olive Tree Lane,,,
