Site,Date,Plot,Species,Percent_Cover,Collected_specimen,Herbarium specimen,Notes
Blue Oak Ranch Reserve,2022-03-22,6,Litter,5,,,
Blue Oak Ranch Reserve,2022-03-22,6,Lupinus bicolor,40,,,
Blue Oak Ranch Reserve,2022-03-22,6,Micropus californicus,1,,,
Blue Oak Ranch Reserve,2022-03-22,6,Rock,0,,,
Blue Oak Ranch Reserve,2022-03-22,6,Sisyrinchium bellum,4,,,
Blue Oak Ranch Reserve,2022-03-22,6,Torilis arvensis,1,,,
Blue Oak Ranch Reserve,2022-03-22,6,Daucus pusillus,1,,,
Blue Oak Ranch Reserve,2022-03-22,6,Trifolium sp.,7,,,not fuzzy
Blue Oak Ranch Reserve,2022-03-22,6,Madia gracilis,8,,,
Blue Oak Ranch Reserve,2022-03-22,6,Vicia sativa,5,,,
Blue Oak Ranch Reserve,2022-05-26,6,Avena barbata,15,,,
Blue Oak Ranch Reserve,2022-05-26,6,Bromus diandrus,1,,,
Blue Oak Ranch Reserve,2022-03-22,7,Acmispon wrangelianus,1,,,not sure wrangelianus
Blue Oak Ranch Reserve,2022-03-22,7,Amsinckia sp.,7,,,
Blue Oak Ranch Reserve,2022-03-22,7,Bare ground,3,,,
Blue Oak Ranch Reserve,2022-03-22,7,Daucus pusillus,5,,,
Blue Oak Ranch Reserve,2022-03-22,7,Clarkia purpurea,3,,,
Blue Oak Ranch Reserve,2022-03-22,7,Erodium botrys,20,,,
Blue Oak Ranch Reserve,2022-03-22,7,Erodium cicutarium,3,,,
Blue Oak Ranch Reserve,2022-03-22,7,Geranium dissectum,5,,,
Blue Oak Ranch Reserve,2022-03-22,7,Grass,10,,,
Blue Oak Ranch Reserve,2022-03-22,7,Litter,3,,,
Blue Oak Ranch Reserve,2022-03-22,7,Lupinus bicolor,35,,,
Blue Oak Ranch Reserve,2022-03-22,7,Rock,0,,,
Blue Oak Ranch Reserve,2022-03-22,7,Trifolium sp.,10,,,"not fuzzy, likely Medicago"
