Plant_ID,Sp_Code,Scientific_Name,Native_Status,Growth_Habit,Perenniality,Recorder,Collection_Date,Plot,Block,Shelter,Plot_number,Population,Treatment,Flower_Count,Flower_1_g,Flower_2_g,Flower_3_g,Flower_4_g,Flower_5_g,Flower_6_g,Flower_7_g,Flower_8_g,Flower_9_g,Flower_10_g,Veg_Mass,fl_average,total_fl_mass,Veg_Mass_ln,total_fl_mass_ln
J8.EROCIC.1,EROCIC,Erodium cicutarium,Non-native,Forb,Annual,AC,5/31/23,J8,5,J,8,SEDG,Drought,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0494,0.0021000000000000003,0.014700000000000001,-3.0078048547882603,-4.219907785197447
C4.VICSAT.1,VICSAT,Vicia sativa,Non-native,Forb,Annual,OH,5/21/23,C4,3,C,4,BORR,Drought,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8,0.009601319444444444,1.0369424999999999,3.2108436531709366,0.03627647930119856
A1.ACMPAR.1,ACMPAR,Acmispon parviflorus,Native,Forb,Annual,LS,6/6/23,A1,1,A,1,ANGELO,Drought,273,4e-4,7e-4,8e-4,3e-4,9e-4,4e-4,7e-4,1e-4,0.001,0.001,1.3498000000000001,6.3e-4,0.17199,0.29995643332716915,-1.760318943393736
G6.ACMPAR.1,ACMPAR,Acmispon parviflorus,Native,Forb,Annual,LS,6/6/23,G6,2,G,6,ANGELO,Control,4,0.0011,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0079,0.0011,0.0044,-4.840892519509161,-5.426150738057921
A1.AIRCAR.1,AIRCAR,Aira caryophyllea,Non-native,Grass,Annual,LS,5/17/23,A1,1,A,1,ANGELO,Drought,74,7.5e-5,2.5e-5,5e-5,2.5e-5,2e-4,2.5e-4,5e-5,6.66667e-5,2.5e-5,2e-5,0.0235,7.866667e-5,0.00582133358,-3.750754857832024,-5.1462259060297235
B4.AIRCAR.1,AIRCAR,Aira caryophyllea,Non-native,Grass,Annual,LS,5/17/23,B4,2,B,4,ANGELO,Drought,35,2e-4,5e-5,3e-4,5e-5,2.5e-5,2e-4,6e-4,2e-5,2.25e-4,2e-5,0.055,1.69e-4,0.005914999999999999,-2.900422093749666,-5.130263781551787
C3.AIRCAR.1,AIRCAR,Aira caryophyllea,Non-native,Grass,Annual,AT,5/17/23,C3,3,C,3,ANGELO,Drought,89,5e-5,2.5e-5,6.66667e-5,1.66667e-4,6.66667e-5,2.5e-4,1.5e-4,0.0013,3.33333e-4,1.85714e-4,0.0156,2.5940474e-4,0.02308702186,-4.160484364726646,-3.7684846435791908
C8.AIRCAR.1,AIRCAR,Aira caryophyllea,Non-native,Grass,Annual,LS,5/17/23,C8,3,C,8,ANGELO,Drought,327,5e-5,6.66667e-5,3.33333e-5,3.33333e-5,1e-4,1.5e-4,3.33333e-5,2e-4,3.33333e-5,5e-5,0.1021,7.499999e-5,0.02452499673,-2.2818025538115174,-3.7080624068640526
D1.AIRCAR.1,AIRCAR,Aira caryophyllea,Non-native,Grass,Annual,LS,5/17/23,D1,4,D,1,ANGELO,Control,419,2.85714e-5,2e-5,4e-4,1.66667e-4,2e-4,5e-5,3.33333e-5,1e-4,2e-4,5e-5,0.1524,1.2485717e-4,0.05231515423,-1.8812466357295912,-2.9504691940506333
E1.AIRCAR.1,AIRCAR,Aira caryophyllea,Non-native,Grass,Annual,MR,5/17/23,E1,5,E,1,ANGELO,Control,211,3.75e-5,6e-5,2e-5,3.07692e-5,1.42857e-5,4e-5,2e-5,1.6e-4,4e-5,5.71429e-5,0.0868,4.796978e-5,0.010121623580000001,-2.4441486573158326,-4.5930811951844595
