Plant_ID,Sp_Code,Population,Flower,Flower_Mass_g,fl_avg,fl_sd,fl_min,fl_max
C3.AIRCAR.1,AIRCAR,ANGELO,Flower_8_g,0.0013,1.3571677142857144e-4,1.8727007598139345e-4,-4.2609345651560885e-4,6.975269993727517e-4
F1.AIRCAR.1,AIRCAR,ANGELO,Flower_1_g,9e-4,1.3571677142857144e-4,1.8727007598139345e-4,-4.2609345651560885e-4,6.975269993727517e-4
F1.AIRCAR.1,AIRCAR,ANGELO,Flower_5_g,8e-4,1.3571677142857144e-4,1.8727007598139345e-4,-4.2609345651560885e-4,6.975269993727517e-4
J2.AIRCAR.1,AIRCAR,ANGELO,Flower_5_g,8e-4,1.3571677142857144e-4,1.8727007598139345e-4,-4.2609345651560885e-4,6.975269993727517e-4
G4.AMSMEN.1,AMSMEN,WWP,Flower_3_g,0.0101,0.0042236363636363634,0.0017084716622980378,-9.017786232577499e-4,0.009349051350530477
G4.AMSMEN.1,AMSMEN,WWP,Flower_7_g,0.0098,0.0042236363636363634,0.0017084716622980378,-9.017786232577499e-4,0.009349051350530477
D2.AVEBAR.1,AVEBAR,BORR,Flower_1_g,0.123,0.021221307692307692,0.012471478741416945,-0.016193128531943143,0.05863574391655853
D4.AVEBAR.1,AVEBAR,MCL,Flower_2_g,0.0581,0.019096666666666668,0.009212155791001007,-0.008539800706336354,0.046733134039669694
D4.AVEBAR.1,AVEBAR,MCL,Flower_6_g,0.0654,0.019096666666666668,0.009212155791001007,-0.008539800706336354,0.046733134039669694
D4.AVEBAR.1,AVEBAR,MCL,Flower_10_g,0.0582,0.019096666666666668,0.009212155791001007,-0.008539800706336354,0.046733134039669694
C7.BROARE.1,BROARE,WWP,Flower_2_g,0.0054,0.002141486225,9.67561689665393e-4,-7.611988439961788e-4,0.005044171293996179
J4.BROARE.1,BROARE,WWP,Flower_10_g,0.006,0.002141486225,9.67561689665393e-4,-7.611988439961788e-4,0.005044171293996179
A7.BRODIA.1,BRODIA,SEDG,Flower_3_g,0.0372,0.01026827083125,0.008409914264043996,-0.014961471960881987,0.03549801362338199
A7.BRODIA.1,BRODIA,SEDG,Flower_4_g,0.0362,0.01026827083125,0.008409914264043996,-0.014961471960881987,0.03549801362338199
A7.BRODIA.1,BRODIA,SEDG,Flower_5_g,0.0523,0.01026827083125,0.008409914264043996,-0.014961471960881987,0.03549801362338199
C1.BRODIA.1,BRODIA,MCL,Flower_5_g,0.037,0.006966966673333333,0.006194215144700147,-0.011615678760767108,0.025549612107433776
C3.BRODIA.1,BRODIA,ANGELO,Flower_10_g,0.038,0.009419955553333333,0.007603144432356848,-0.013389477743737213,0.03222938885040388
D4.BRODIA.1,BRODIA,MCL,Flower_4_g,0.0273,0.006966966673333333,0.006194215144700147,-0.011615678760767108,0.025549612107433776
D4.BRODIA.1,BRODIA,MCL,Flower_7_g,0.0301,0.006966966673333333,0.006194215144700147,-0.011615678760767108,0.025549612107433776
D4.BRODIA.1,BRODIA,MCL,Flower_8_g,0.0259,0.006966966673333333,0.006194215144700147,-0.011615678760767108,0.025549612107433776
D4.BRODIA.1,BRODIA,MCL,Flower_10_g,0.0265,0.006966966673333333,0.006194215144700147,-0.011615678760767108,0.025549612107433776
F2.BRODIA.1,BRODIA,WWP,Flower_9_g,0.0399,0.0116346994,0.008661325095522594,-0.014349275886567783,0.03761867468656778
I3.BRODIA.1,BRODIA,WWP,Flower_2_g,0.0377,0.0116346994,0.008661325095522594,-0.014349275886567783,0.03761867468656778
I3.BRODIA.1,BRODIA,WWP,Flower_4_g,0.0382,0.0116346994,0.008661325095522594,-0.014349275886567783,0.03761867468656778
I5.BRODIA.1,BRODIA,ANGELO,Flower_7_g,0.0386,0.009419955553333333,0.007603144432356848,-0.013389477743737213,0.03222938885040388
A1.BROHOR.1,BROHOR,ANGELO,Flower_10_g,0.0051,0.0014880897384615384,0.0011588823254020239,-0.0019885572377445334,0.00496473671466761
D6.BROHOR.1,BROHOR,BORR,Flower_1_g,0.006,0.00148,6.944342976197905e-4,-6.033028928593715e-4,0.0035633028928593715
E7.BROHOR.1,BROHOR,MCL,Flower_4_g,0.01,0.0014953846153846154,9.185311444514934e-4,-0.0012602088179698647,0.004250978048739095
G3.BROHOR.1,BROHOR,SEDG,Flower_10_g,0.0033,0.0014658208045112782,6.08293496770311e-4,-3.590596857996548e-4,0.003290701294822211
G7.BROHOR.1,BROHOR,ANGELO,Flower_6_g,0.012,0.0014880897384615384,0.0011588823254020239,-0.0019885572377445334,0.00496473671466761
F2.BROMAD.1,BROMAD,WWP,Flower_10_g,0.007,0.0011556303625,6.73438952072343e-4,-8.64686493717029e-4,0.003175947218717029
H8.BROMAD.1,BROMAD,SEDG,Flower_4_g,0.0029,0.0011032111133333334,5.592851284406787e-4,-5.746442719887029e-4,0.0027810664986553696
D6.DAUPUS.1,DAUPUS,BORR,Flower_10_g,0.0016,3.6585034523809525e-4,3.540854135654888e-4,-6.964058954583711e-4,0.0014281065859345617
G1.DAUPUS.1,DAUPUS,BORR,Flower_7_g,0.003,3.6585034523809525e-4,3.540854135654888e-4,-6.964058954583711e-4,0.0014281065859345617
J2.DAUPUS.1,DAUPUS,ANGELO,Flower_3_g,0.0031,5.512074e-4,5.859716650336326e-4,-0.0012067075951008978,0.0023091223951008976
